,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,action_1,action_2,action_3,action_4,action_5,max_value,max_action
0,2.315934,2.5163643,2.6330342,2.426552,2.3843017,1.8359643,1.9786848,1.9700716,1.8328409,1.8905704,2.5814002,2.3634372,2.6920717,2.3420088,2.2877297,6.7332985,6.8584863,7.295177499999999,6.6014017,6.5626017999999995,7.295177499999999,3
1,2.3119016,2.5154185,2.6286802,2.4222646,2.3814874,1.832756,1.9729019,1.9677831,1.8298492,1.8889213,2.57548,2.3589451,2.6888213,2.337475,2.2849169,6.720137600000001,6.847265500000001,7.2852846,6.5895888,6.5553256,7.2852846,3
2,2.3111942,2.5166223,2.6266174,2.4206917,2.3807144,1.8309186,1.9683912,1.9662696,1.8280206,1.8881923,2.572122,2.35729,2.687036,2.3355243,2.283634,6.7142348,6.8423035,7.279923,6.5842366000000005,6.552540700000001,7.279923,3
3,2.316129,2.521256,2.6288111,2.4234614,2.3835187,1.8316846,1.9663345,1.9664448,1.8289272,1.889737,2.5731244,2.3608198,2.6882887,2.337444,2.285187,6.720938,6.8484103,7.2835446,6.589832599999999,6.5584427000000005,7.2835446,3
4,2.3181136,2.5227478,2.6291964,2.423799,2.384356,1.8321364,1.9639797,1.9664717,1.8290408,1.890419,2.572274,2.361625,2.6882756,2.3371572,2.2861931,6.722524,6.8483525,7.2839437,6.589997,6.5609681,7.2839437,3
5,2.3196673,2.5230079,2.6289794,2.42337,2.3848107,1.8324442,1.9615363,1.9664792,1.8289806,1.8906906,2.5711315,2.3613815,2.687842,2.3361466,2.2869751,6.723243,6.8459257000000004,7.2833006,6.5884972,6.5624763999999995,7.2833006,3
6,2.320263,2.5218568,2.6278477,2.4218652,2.384454,1.8323196,1.9585742,1.9661101,1.8284068,1.8903588,2.5692623,2.3601398,2.6865933,2.3342724,2.2872097,6.721844900000001,6.8405708,7.2805511,6.5845444,6.562022499999999,7.2805511,3
7,2.3199959,2.519527,2.625965,2.419455,2.383345,1.8318874,1.9551861,1.9654186,1.8273922,1.8895504,2.5667577,2.358154,2.6846914,2.3317297,2.2870152,6.718641,6.8328671,7.2760750000000005,6.5785769,6.559910599999999,7.2760750000000005,3
8,2.3189461,2.516255,2.6234336,2.41631,2.381593,1.8311577,1.9514719,1.9644444,1.8259941,1.8883443,2.563711,2.3555229,2.682222,2.3285956,2.2864218,6.7138148,6.823249800000001,7.270099999999999,6.5708997,6.5563591,7.270099999999999,3
9,2.3178802,2.512503,2.620964,2.413051,2.379896,1.8304654,1.9479423,1.9635844,1.8247916,1.8872652,2.5608497,2.352703,2.6799133,2.3254323,2.2860441,6.709195299999999,6.8131483,7.2644617,6.5632749,6.5532053,7.2644617,3
