,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,action_1,action_2,action_3,action_4,action_5,max_value,max_action
0,2.8135986,2.9575741,3.1151323,2.8474925,2.9783287,8.469425,8.643334,8.877125,8.907543,8.672093,6.289541,5.7455463,6.6817865,6.074328,5.996998,17.5725646,17.3464544,18.6740438,17.8293635,17.6474197,18.6740438,3
1,2.957702,3.0021822,3.1429293,2.9319305,3.0574565,9.26493,9.213845,9.528568,9.393668,9.394998,6.5599365,5.8123126,6.7961755,6.1811976,6.1548114,18.7825685,18.028339799999998,19.467672800000003,18.5067961,18.607265899999998,19.467672800000003,3
2,3.0089455,3.0133142,3.0888464,2.9567764,3.0819309,9.558728,9.481707,9.654966,9.487447,9.652566,6.5744967,5.763675,6.6404037,6.034354,6.1162643,19.1421702,18.2586962,19.3842161,18.4785774,18.8507612,19.3842161,3
3,3.0021865,3.0477378,3.0486782,2.9956815,3.1307755,9.398209,9.527871,9.393206,9.343258,9.520165,6.433717,5.736155,6.399851,5.870483,5.989016,18.8341125,18.3117638,18.8417352,18.209422500000002,18.6399565,18.8417352,3
4,3.012472,3.0427299,3.049218,3.00378,3.1278853,9.417779,9.529503,9.402146,9.3299885,9.47477,6.4604707,5.756264,6.406215,5.850909,5.9692793,18.8907217,18.328496899999998,18.857579,18.1846775,18.5719346,18.8907217,1
5,2.9678948,2.9794583,2.9974825,2.9607375,3.0581093,9.254746,9.317311,9.233461,9.162193,9.218339,6.3888383,5.6627975,6.330643,5.7615066,5.856483,18.6114791,17.9595668,18.5615865,17.8844371,18.1329313,18.6114791,1
6,2.966241,2.963578,2.995386,2.9545784,3.0364416,9.212051,9.237883,9.200482,9.096327,9.1140585,6.3862123,5.6327825,6.334394,5.735485,5.8189077,18.564504300000003,17.8342435,18.530262,17.786390400000002,17.9694078,18.564504300000003,1
7,3.0149407,2.9830122,3.0428073,2.9941063,3.0542402,9.30467,9.249635,9.307324,9.156603,9.141124,6.4721456,5.6606994,6.4311533,5.7948723,5.8557367,18.7917563,17.8933466,18.7812846,17.9455816,18.0511009,18.7917563,1
8,3.0894992,3.0348341,3.117245,3.0615566,3.0964007,9.444885,9.331384,9.456834,9.278897,9.216493,6.5819097,5.7246776,6.552485,5.88653,5.9205866,19.1162939,18.090895699999997,19.126564000000002,18.2269836,18.2334803,19.126564000000002,3
9,3.1589477,3.0832314,3.1893697,3.1272264,3.1328838,9.580251,9.410653,9.6066265,9.406366,9.295176,6.681283,5.7817464,6.668744,5.9765706,5.979683,19.4204817,18.2756308,19.4647402,18.510163,18.4077428,19.4647402,3
10,3.2004173,3.1066499,3.2340353,3.159865,3.1484678,9.658604,9.44141,9.69846,9.465854,9.336236,6.737413,5.803391,6.739354,6.0200334,6.007748,19.5964343,18.3514509,19.6718493,18.6457524,18.4924518,19.6718493,3
11,3.2000184,3.089776,3.2381523,3.144346,3.1311865,9.639124,9.3819685,9.6959715,9.414432,9.301293,6.722451,5.7634697,6.737989,5.9861245,5.980549,19.5615934,18.2352142,19.6721128,18.5449025,18.4130285,19.6721128,3
12,3.1917863,3.074459,3.2358549,3.123032,3.1096363,9.607006,9.3350115,9.682171,9.358799,9.261394,6.696654,5.7296624,6.727919,5.948718,5.950381,19.4954463,18.1391329,19.6459449,18.430549,18.3214113,19.6459449,3
13,3.1771317,3.0535083,3.2276707,3.0951133,3.087142,9.560921,9.272781,9.6514225,9.290715,9.21971,6.6597896,5.6877675,6.7053185,5.903694,5.9164896,19.3978423,18.0140568,19.5844117,18.2895223,18.223341599999998,19.5844117,3
14,3.1607342,3.0319896,3.2178178,3.0647712,3.0656714,9.51385,9.210562,9.617698,9.220482,9.183266,6.621352,5.6455503,6.6802497,5.857429,5.884046,19.2959362,17.8881019,19.5157655,18.1426822,18.1329834,19.5157655,3
15,3.1496742,3.0097256,3.2077198,3.0347638,3.0406122,9.480853,9.143106,9.582197,9.1476,9.130628,6.5975747,5.6095304,6.6575465,5.8162475,5.8367963,19.2281019,17.762362,19.4474633,17.9986113,18.0080365,19.4474633,3
16,3.218258,3.0454662,3.2586436,3.1160035,3.1051538,9.521189,9.129342,9.595955,9.202564,9.1514635,6.6304283,5.59399,6.659616,5.830286,5.859365,19.3698753,17.7687982,19.5142146,18.1488535,18.1159823,19.5142146,3
17,3.295904,3.1205852,3.326306,3.1860018,3.2027166,9.614327,9.257242,9.6627865,9.2933655,9.273268,6.6743217,5.6557536,6.692059,5.861789,5.9466386,19.5845527,18.0335808,19.6811515,18.3411563,18.4226232,19.6811515,3
18,3.35986,3.188263,3.3780951,3.2554889,3.288718,9.700187,9.396338,9.722476,9.414093,9.401404,6.696083,5.7068653,6.7085004,5.9020853,6.021752,19.75613,18.2914663,19.8090715,18.5716672,18.711873999999998,19.8090715,3
19,3.4050236,3.2327738,3.4183264,3.320289,3.3333282,9.802699,9.506506,9.82887,9.589108,9.499769,6.7561517,5.7756815,6.7826395,6.0020285,6.0989103,19.9638743,18.5149613,20.029835900000002,18.9114255,18.9320075,20.029835900000002,3
20,3.430159,3.2563407,3.4423485,3.363053,3.355478,9.854286,9.559052,9.891636,9.705111,9.5488825,6.785415,5.811498,6.8288193,6.0683155,6.1396728,20.06986,18.6268907,20.1628038,19.1364795,19.0440333,20.1628038,3
21,3.4413636,3.2622325,3.45267,3.3881345,3.3635077,9.867725,9.559472,9.912764,9.772473,9.56198,6.7931385,5.820996,6.847802,6.1062865,6.1535144,20.1022271,18.6427005,20.213236,19.266894,19.0790021,20.213236,3
22,3.4505594,3.2614112,3.459751,3.406478,3.3690975,9.876548,9.538927,9.92122,9.822324,9.572868,6.7995067,5.819191,6.8564663,6.132682,6.1591134,20.126614099999998,18.6195292,20.2374373,19.361484,19.1010789,20.2374373,3
23,3.4501662,3.246863,3.4609606,3.4130015,3.3649898,9.8702545,9.489914,9.921231,9.846508,9.573074,6.7990065,5.8036504,6.8604684,6.147605,6.1578712,20.1194272,18.5404274,20.24266,19.4071145,19.095935,20.24266,3
