,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,action_1,action_2,action_3,action_4,action_5,max_value,max_action
0,8.221872,8.175908,9.137979,8.436627,8.815987,3.1359313,3.120907,3.336285,3.2049618,3.3355753,4.676021,4.094753,4.8771935,4.335518,4.4423156,16.0338243,15.391568,17.3514575,15.9771068,16.5938779,17.3514575,3
1,8.429551,8.574801,9.097495,8.6851635,8.892286,3.22622,3.3178766,3.386566,3.329808,3.395416,4.776161,4.3345866,4.9036484,4.445576,4.5065002,16.431932,16.2272642,17.3877094,16.4605475,16.7942022,17.3877094,3
2,8.499288,8.703897,9.0340185,8.77335,8.86987,3.2750535,3.4041226,3.409091,3.4163187,3.4174297,4.8080263,4.443464,4.9039564,4.522264,4.523231,16.5823678,16.551483599999997,17.3470659,16.7119327,16.8105307,17.3470659,3
3,8.578309,8.782609,9.017318,8.815906,8.867402,3.309052,3.4405262,3.4247942,3.4663725,3.4268692,4.8216267,4.4864335,4.8988676,4.5569186,4.5219264,16.7089877,16.709568700000002,17.3409798,16.8391971,16.816197600000002,17.3409798,3
4,8.651915,8.845801,9.040204,8.827545,8.878596,3.3267326,3.4523418,3.4435494,3.4778533,3.4278867,4.8248568,4.4936786,4.902199,4.5483093,4.508151,16.8035044,16.7918214,17.3859524,16.8537076,16.8146337,17.3859524,3
5,8.841229,8.946574,9.121172,8.884587,8.950738,3.3575296,3.4457786,3.4633644,3.464598,3.4200692,4.8642135,4.476637,4.917715,4.518813,4.490466,17.0629721,16.8689896,17.5022514,16.867998,16.8612732,17.5022514,3
6,8.919765,8.977782,9.136065,8.909214,8.972424,3.372819,3.4366593,3.4575002,3.4488745,3.4127638,4.8871484,4.452518,4.9035473,4.4926453,4.46691,17.1797324,16.8669593,17.4971125,16.8507338,16.852097800000003,17.4971125,3
7,8.9882345,9.007895,9.158894,8.934455,8.991752,3.3968246,3.441325,3.4551318,3.439599,3.4077902,4.910692,4.4437656,4.8927603,4.473077,4.4453497,17.2957511,16.8929856,17.5067861,16.847130999999997,16.8448919,17.5067861,3
8,9.01075,8.9845085,9.148111,8.923793,8.972204,3.406738,3.4283879,3.4418676,3.428167,3.3964555,4.914674,4.4182324,4.8727255,4.4549556,4.4158626,17.332161999999997,16.831128800000002,17.4627041,16.8069156,16.7845221,17.4627041,3
9,8.999369,8.93448,9.116253,8.891284,8.946827,3.4101121,3.4117346,3.428056,3.4171197,3.3929358,4.9116597,4.394184,4.854061,4.4426937,4.398114,17.321140800000002,16.7403986,17.39837,16.751097400000003,16.737876800000002,17.39837,3
10,8.997319,8.919644,9.129112,8.886458,8.946845,3.4178274,3.4134865,3.4324408,3.4226043,3.402578,4.916214,4.400892,4.8598037,4.454405,4.4036827,17.3313604,16.7340225,17.421356499999998,16.7634673,16.7531057,17.421356499999998,3
11,8.990892,8.916984,9.152907,8.892554,8.958684,3.4220781,3.4185839,3.4400244,3.4326808,3.415728,4.9156547,4.411658,4.8693066,4.469493,4.414437,17.3286248,16.7472259,17.462238,16.7947278,16.788849,17.462238,3
12,8.9338455,8.883078,9.125055,8.842295,8.899667,3.398759,3.3985674,3.4229941,3.4059646,3.3880033,4.879026,4.3808455,4.848245,4.4387827,4.3752613,17.2116305,16.662490899999998,17.3962941,16.6870423,16.6629316,17.3962941,3
13,8.885013,8.856561,9.10778,8.799257,8.8447,3.379208,3.38306,3.40999,3.3832247,3.3625875,4.844237,4.3529835,4.8296537,4.4100046,4.336689,17.108458,16.5926045,17.3474237,16.5924863,16.5439765,17.3474237,3
14,8.832214,8.820268,9.082165,8.753454,8.782306,3.3582435,3.3643837,3.3949745,3.3603618,3.3347585,4.810278,4.3233013,4.8097544,4.382167,4.2970653,17.0007355,16.507953,17.2868939,16.4959828,16.414129799999998,17.2868939,3
15,8.791133,8.793083,9.0676565,8.719043,8.729567,3.3421915,3.3504205,3.3857613,3.343251,3.3130114,4.786174,4.3011785,4.798297,4.3629804,4.266536,16.9194985,16.444682,17.251714800000002,16.4252744,16.3091144,17.251714800000002,3
16,8.768737,8.7793045,9.065814,8.701082,8.695001,3.3339467,3.343529,3.3836713,3.3341057,3.3008628,4.7744455,4.2884088,4.7954993,4.3535357,4.2480597,16.8771292,16.4112423,17.2449846,16.3887234,16.243923499999998,17.2449846,3
17,8.766646,8.774299,9.073441,8.696408,8.682323,3.3343506,3.3415468,3.3864071,3.3308916,3.2980802,4.773777,4.281904,4.7978616,4.3508077,4.24034,16.8747736,16.3977498,17.2577097,16.3781073,16.2207432,17.2577097,3
18,8.771474,8.770685,9.08635,8.695977,8.6750765,3.3366778,3.3392918,3.3904345,3.3289154,3.2964942,4.776142,4.2759523,4.8025904,4.3501825,4.234736,16.884293800000002,16.3859291,17.2793749,16.375074899999998,16.2063067,17.2793749,3
19,8.772585,8.762939,9.096039,8.692655,8.664448,3.3377442,3.335826,3.393497,3.3262177,3.29364,4.7768497,4.2686777,4.8060102,4.3484282,4.2275586,16.8871789,16.367442699999998,17.2955462,16.3673009,16.1856466,17.2955462,3
20,8.770785,8.753167,9.102251,8.687604,8.650485,3.337995,3.3324268,3.3958547,3.3235087,3.2897823,4.776222,4.2612214,4.8080587,4.3460217,4.2188773,16.885002,16.3468152,17.3061644,16.3571344,16.1591446,17.3061644,3
21,8.769493,8.75169,9.101994,8.687624,8.63195,3.3395832,3.3360474,3.3988163,3.3254015,3.2859657,4.775881,4.2597694,4.808057,4.3461676,4.208639,16.884957200000002,16.347506799999998,17.3088673,16.3591931,16.1265547,17.3088673,3
22,8.765732,8.747997,9.098928,8.685846,8.610767,3.340335,3.339258,3.4010448,3.3269343,3.2812014,4.7742596,4.2576776,4.806831,4.345433,4.1970487,16.8803266,16.3449326,17.3068038,16.3582133,16.0890171,17.3068038,3
23,8.744565,8.730515,9.076513,8.667741,8.579696,3.33529,3.3369555,3.3962295,3.3217812,3.27262,4.7616305,4.2452292,4.794398,4.3328156,4.1764717,16.8414855,16.3126997,17.2671405,16.3223378,16.0287877,17.2671405,3
24,8.740255,8.719097,9.063232,8.654826,8.556113,3.336533,3.3372803,3.3948305,3.320215,3.2691035,4.7571564,4.2367897,4.7870517,4.3241506,4.1615353,16.8339444,16.293167,17.2451142,16.2991916,15.9867518,17.2451142,3
25,8.760001,8.733971,9.067109,8.664963,8.5669565,3.3439693,3.3463886,3.3987472,3.3252246,3.2772524,4.7609987,4.2365017,4.7842155,4.3230844,4.158383,16.864969000000002,16.3168613,17.2500717,16.313272,16.0025919,17.2500717,3
26,8.784699,8.753725,9.075289,8.680912,8.57948,3.352875,3.357553,3.4044302,3.3331907,3.285806,4.7678165,4.2387023,4.7839293,4.3254275,4.1558847,16.905390500000003,16.3499803,17.2636485,16.3395302,16.0211707,17.2636485,3
27,8.818842,8.798438,9.098703,8.722811,8.593174,3.36487,3.379028,3.4163203,3.353589,3.294397,4.7798324,4.2531896,4.791628,4.34129,4.153786,16.9635444,16.4306556,17.306651300000002,16.41769,16.041356999999998,17.306651300000002,3
28,8.8709545,9.04161,9.273122,8.835135,8.639473,3.4066324,3.4819777,3.4660425,3.4049947,3.3474965,4.778929,4.357167,4.825532,4.354297,4.1510215,17.0565159,16.8807547,17.5646965,16.5944267,16.137991,17.5646965,3
29,8.855316,9.055682,9.261736,8.824662,8.620525,3.403847,3.4943027,3.4706793,3.410515,3.3467908,4.7659483,4.3574715,4.8162823,4.345179,4.134399,17.0251113,16.9074562,17.5486976,16.580356000000002,16.101714800000003,17.5486976,3
30,8.769709,9.000842,9.187142,8.747865,8.532872,3.3668997,3.4704747,3.4470704,3.3823013,3.3122935,4.7079372,4.307726,4.767254,4.2895513,4.0735226,16.8445459,16.7790427,17.4014664,16.4197176,15.9186881,17.4014664,3
31,8.61915,8.885967,9.051422,8.615406,8.365135,3.2997177,3.421641,3.3977034,3.3288896,3.2425816,4.610764,4.2245007,4.6843905,4.2002115,3.9705112,16.5296317,16.532108700000002,17.1335159,16.1445071,15.5782278,17.1335159,3
32,7.737096,7.8588085,8.526314,7.711265,7.8382235,3.0852804,3.046726,3.2181983,2.9321098,3.052184,4.3318944,3.8158488,4.514592,3.7357497,3.7646596,15.154270799999999,14.7213833,16.2591043,14.3791245,14.6550671,16.2591043,3
33,7.618954,7.682155,8.397349,7.5496426,7.7123494,3.035096,2.963517,3.1647146,2.8551068,2.9929402,4.2621417,3.6962395,4.447727,3.6360927,3.6737142,14.916191699999999,14.341911499999998,16.009790600000002,14.040842099999999,14.3790038,16.009790600000002,3
34,7.496121,7.509625,8.280194,7.3945537,7.605603,2.9824247,2.8834438,3.1158915,2.780634,2.942849,4.1870103,3.5777168,4.3850255,3.538313,3.5911887,14.665555999999999,13.9707856,15.781111,13.7135007,14.139640700000001,15.781111,3
35,7.3382983,7.313613,8.1157465,7.2004313,7.4452057,2.912416,2.7921145,3.047107,2.686169,2.8709998,4.0897384,3.4429054,4.29577,3.4183326,3.4814878,14.3404527,13.548632900000001,15.458623500000002,13.304932899999999,13.797693299999999,15.458623500000002,3
36,7.1679273,7.1143517,7.926632,6.9964824,7.2701473,2.840746,2.7021685,2.9713454,2.5915403,2.7972455,3.9879653,3.3108232,4.193011,3.2963362,3.3678956,13.9966386,13.127343399999999,15.0909884,12.884358899999999,13.435288400000001,15.0909884,3
37,6.977818,6.9436073,7.7455597,6.8173347,7.1063466,2.7659671,2.6334207,2.903742,2.5187538,2.7343848,3.8785045,3.207149,4.096341,3.2009797,3.2662597,13.6222896,12.784177,14.745642700000001,12.537068199999998,13.106991099999998,14.745642700000001,3
38,6.6150446,6.712852,7.537678,6.6037188,6.884602,2.6079988,2.5350347,2.82112,2.4330392,2.6438243,3.653887,3.061627,3.9767928,3.0832744,3.1224656,12.876930399999999,12.3095137,14.3355908,12.120032400000001,12.6508919,14.3355908,3
39,6.2698846,6.4799023,7.3571806,6.4050775,6.6933026,2.4608006,2.439541,2.749676,2.3545523,2.5705736,3.4432774,2.9236655,3.8748338,2.9744248,3.0009549,12.1739626,11.843108800000001,13.981690400000002,11.734054599999999,12.2648311,13.981690400000002,3
40,5.944348,6.2846246,7.1970215,6.2500043,6.5086966,2.3136194,2.3556116,2.6821165,2.2873082,2.4907408,3.2388449,2.7978797,3.7760358,2.8813505,2.8772953,11.4968123,11.4381159,13.6551738,11.418662999999999,11.876732700000002,13.6551738,3
41,5.5885124,6.048643,6.9978566,6.07187,6.2811246,2.1521165,2.2570176,2.599883,2.208023,2.394129,3.0171409,2.6532807,3.6589787,2.774273,2.734927,10.7577698,10.9589413,13.256718300000001,11.054165999999999,11.4101806,13.256718300000001,3
